Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 

      1  長和　　　　　　         723,500     29,423,525
      2  中電控股　　　　         311,000     19,600,150
      3  香港中華煤氣　　       6,395,000     43,039,350
      4  九龍倉集團　　　          38,000        668,440
      5  匯豐控股　　　　       3,022,400    234,763,860
      6  電能實業　　　　         268,000     12,763,125
      8  電訊盈科　　　　         160,000        768,170
     10  �痗弦偎峞@　　　          13,000        135,520
     11  �琤芼�行　　　　         327,000     32,260,975
     12  �痚穧a產　　　　         626,000     12,925,800
     13  和黃醫藥　　　　         619,500     14,028,225
     14  希慎興業　　　　          21,000        250,180
     16  新鴻基地產　　　         151,000     10,358,350
     17  新世界發展　　　         171,000        775,960
     19  太古股份公司Ａ　          61,500      3,912,025
     20  商湯－Ｗ　　　　      43,871,000     65,192,290
     23  東亞銀行　　　　          24,000        255,492
     27  銀河娛樂　　　　       2,818,000     78,305,850
     38  第一拖拉機股份　          52,000        315,220
     66  港鐵公司　　　　         737,500     18,614,375
     69  香格里拉（亞洲）           2,000          8,420
     71  美麗華酒店　　　           5,000         43,700
     81  中國海外宏洋集團         761,000      1,339,020
     83  信和置業　　　　         134,000      1,009,740
     85  中電華大科技　　         218,000        315,220
    101  �痗岫a產　　　　         943,000      5,725,730
    107  四川成渝高速公路          48,000        194,900
    116  周生生　　　　　          38,000        264,140
    119  保利置業集團　　         146,000        208,780
    123  越秀地產　　　　         226,000      1,090,560
    133  招商局中國基金　           4,000         53,200
    135  昆侖能源　　　　         728,000      5,533,500
    136  中國儒意　　　　       2,016,000      4,676,760
    142  第一太平　　　　          52,000        245,400
    144  招商局港口　　　         206,000      2,564,640
    148  建滔集團　　　　          70,500      1,447,000
    151  中國旺旺　　　　         176,000        867,000
    152  深圳國際　　　　          58,500        454,355
    165  中國光大控股　　          62,000        253,180
    168  青島啤酒股份　　          92,000      5,450,200
    173  嘉華國際　　　　          45,000         74,520
    175  吉利汽車　　　　      11,154,000    184,136,220
    177  江蘇寧滬高速公路          96,000        916,840
    179  德昌電機控股　　         298,500      4,020,290
    182  協合新能源　　　         100,000         44,500
    189  東岳集團　　　　         203,000      1,725,020
    200  新濠國際發展　　         135,000        486,200
    215  和記電訊香港　　         264,000        250,460
    220  統一企業中國　　         388,000      3,479,770
    241  阿里健康　　　　      16,158,000     75,684,620
    257  光大環境　　　　         367,000      1,239,710
    267  中信股份　　　　       1,973,000     17,446,530
    268  金蝶國際　　　　       4,530,000     56,394,080
    270  粵海投資　　　　         328,000      1,955,820
    272  瑞安房地產　　　         108,000         69,585
    285  比亞迪電子　　　       5,239,500    180,762,200
    288  萬洲國際　　　　       1,208,000      8,319,405
    290  國富量子　　　　          40,000         50,480
    291  華潤啤酒　　　　       4,851,500    135,993,525
    293  國泰航空　　　　         754,000      6,776,380
    297  中化化肥　　　　       1,822,000      2,151,120
    300  美的集團　　　　         385,300     27,041,190
    302  中手游　　　　　         270,000         95,310
    303  VTECH HOLDINGS           31,700      1,522,025
    308  香港中旅　　　　         174,000        179,220
    314  思派健康　　　　          60,800        287,820
    315  數碼通電訊　　　           4,500         18,405
    316  東方海外國際　　          96,500     10,419,500
    317  中船防務　　　　           6,000         57,440
    322  康師傅控股　　　       1,508,000     20,254,040
    323  馬鞍山鋼鐵股份　       1,046,000      1,809,840
    327  百富環球　　　　          82,000        359,060
    336  華寶國際　　　　          95,000        228,490
    338  上海石油化工股份         444,000        528,660
    341  大家樂集團　　　          18,000        128,640
    345  VITASOY INT'L            86,000        873,720
    347  鞍鋼股份　　　　         358,000        556,560
    354  中國軟件國際　　       2,538,000     12,149,360
    357  美蘭空港　　　　         158,000      1,549,980
    358  江西銅業股份　　       1,770,000     22,540,940
    363  上海實業控股　　          14,000        157,500
    371  北控水務集團　　       1,530,000      3,669,920
    384  中國燃氣　　　　          66,200        454,800
    386  中國石油化工股份      23,602,000     90,831,100
    388  香港交易所　　　       2,159,700    711,027,240
    390  中國中鐵　　　　       1,703,000      5,810,100
    392  北京控股　　　　         150,500      4,478,250
    405  越秀房產信託基金          10,000          7,100
    425  敏實集團　　　　       1,504,000     26,743,160
    434  博雅互動　　　　          59,000        234,670
    435  陽光房地產基金　         157,000        285,010
    440  大新金融　　　　          17,600        458,700
    460  四環醫藥　　　　         207,000        134,540
    467  聯合能源集團　　          96,000         37,420
    489  東風集團股份　　       2,054,000      9,024,900
    506  中國食品　　　　          54,000        162,060
    511  電視廣播　　　　          37,100        106,010
    512  遠大醫藥　　　　         233,000      1,345,515
    517  中遠海運國際　　          38,000        167,380
    522  ASMPT                   132,200      6,695,305
    525  廣深鐵路股份　　          76,000        132,940
    535  金地商置　　　　         208,000         51,070
    546  阜豐集團　　　　          48,000        284,130
    547  數字王國　　　　          45,000         18,675
    548  深圳高速公路股份         146,000        934,260
    551  裕元集團　　　　         161,500      1,817,370
    552  中國通信服務　　         196,000        794,360
    558  力勁科技　　　　          72,500        195,125
    564  鄭煤機　　　　　         273,800      3,380,812
    570  中國中藥　　　　         584,000      1,142,920
    576  浙江滬杭甬　　　          14,000         90,900
    579  京能清潔能源　　         200,000        413,700
    580  賽晶科技　　　　         102,000        117,700
    581  中國東方集團　　         442,000        508,180
    586  海螺創業　　　　         353,500      2,646,115
    590  六福集團　　　　           6,000         88,760
    596  浪潮數字企業　　         334,000      2,251,900
    598  中國外運　　　　         381,000      1,308,620
    604  深圳控股　　　　           8,000          5,920
    631  三一國際　　　　         130,000        643,400
